ZONA,Provincia,CodigodeProvincia,Canton,CodigodeCanton,Parroquia,CodigodeParroquia,CodigoInstitucion,NombreInstitucion,TipodeEducacion,NivelEducacion,Sostenimiento,ZonaINEC,RegimenEscolar,Jurisdiccion,Modallidad,Jornada,Tenenciadelinmueble,FormaAcceso,Docentes_Femenino,Docentes_Masculino,Total_Docentes,Estudiantes_Femenino,Estudiantes_Masculino,Total_Estudiantes,Estudiantes_Docentes
ZONA 9,PICHINCHA,17,QUITO,1701,LA CONCEPCION,170117,17H04342,CENTRO DE DESARROLLO INTEGRAL INTEGRAL PARA LA PRIMERA INFANCIA REINO DEL SABER,Educación Regular,Inicial,Particular Religioso,UrbanaINEC,Sierra,Hispana,Presencial,Matutina y Vespertina,No conoce,Terrestre,2,0,2,1,1,2,1
ZONA 1,SUCUMBIOS,21,CUYABENO,2107,TARAPOA,210750,21H00782,ESCUELA DE EDUCACIÓN BÁSICA HERMANA MARIA CURIE,Educación Regular,Educación Básica,Fiscal,UrbanaINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,1,1,2,8,17,25,12.5
ZONA 5,LOS RIOS,12,QUEVEDO,1205,SAN CRISTOBAL,120506,12H00810,ESCUELA DE EDUCACION BASICA GASTON CAMPUZANO GUERRERO,Educación Regular,Educación Básica,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,4,0,4,31,46,77,19.25
ZONA 7,LOJA,11,PALTAS,1109,GUACHANAMA,110952,11H01183,ESCUELA DE EDUCACION BASICA FRANCISCO RODRIGUEZ,Educación Regular,Educación Básica,Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,1,0,1,2,8,10,10
ZONA 4,MANABI,13,CHONE,1303,CANUTO,130352,13H01156,JOSE JOAQUIN DE OLMEDO,Educación Regular,Educación Básica,Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,1,0,1,5,10,15,15
ZONA 8,GUAYAS,9,GUAYAQUIL,901,FEBRES CORDERO,90104,09H00231,ESCUELA DE EDUCACION  BASICA FISCAL CARMEN SUCRE,Educación Regular,Inicial y EGB,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina y Vespertina,Propio,Terrestre,35,6,41,677,642,1319,32.17073171
ZONA 2,NAPO,15,TENA,1501,TALAG,150157,15B00108,SAN CARLOS,Educación Regular,Inicial y EGB,Fiscal,RuralINEC,Sierra,Bilingüe,Presencial,Matutina,Propio,Terrestre,0,2,2,19,11,30,15
ZONA 9,PICHINCHA,17,QUITO,1701,SAN JOSE DE MINAS,170181,10B00129,ESCUELA DE EDUCACION BASICA GENERAL QUIS QUIS,Educación Regular,Educación Básica,Fiscal,RuralINEC,Sierra,Bilingüe,Presencial,Matutina,Propio,Terrestre,1,0,1,3,6,9,9
ZONA 2,ORELLANA,22,AGUARICO,2202,CONONACO,220252,22H00246,NAMPAWE ONKYERE YATEWE,Educación Regular,EGB y Bachillerato,Fiscal,RuralINEC,Sierra,Hispana,Presencial,Matutina,Comodato,Fluvial,0,4,4,34,36,70,17.5
ZONA 9,PICHINCHA,17,QUITO,1701,TURUBAMBA,170132,17H01372,ENMA VACA ROJAS,Educación Regular,Educación Básica,Fiscal,UrbanaINEC,Sierra,Hispana,Presencial,Matutina y Vespertina,Propio,Terrestre,18,5,23,227,263,490,21.30434783
ZONA 9,PICHINCHA,17,QUITO,1701,BELISARIO QUEVEDO,170101,17H03301,ITALIA,Educación Regular,EGB y Bachillerato,Particular Laico,UrbanaINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,2,2,4,11,18,29,7.25
ZONA 5,SANTA ELENA,24,SANTA ELENA,2401,COLONCHE,240152,24H00062,RAFAEL MORAN VALVERDE,Educación Regular,Inicial y EGB,Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,6,4,10,135,133,268,26.8
ZONA 5,BOLIVAR,2,GUARANDA,201,SALINAS,20155,02H00755,UNIDAD  EDUCATIVA  PCEI  DE BOLIVAR EXTENSION SALINAS,Popular Permanente,EGB y Bachillerato,Fiscomisional,RuralINEC,Sierra,Hispana,A Distancia,Matutina,Prestado,Terrestre,2,2,4,29,19,48,12
ZONA 5,BOLIVAR,2,CHIMBO,203,MAGDALENA (CHAPACOTO),20353,02H00815,EEB MANUEL LOMBEIDA,Educación Regular,Educación Básica,Fiscal,RuralINEC,Sierra,Hispana,Presencial,Matutina,Prestado,Terrestre,1,0,1,2,3,5,5
ZONA 8,GUAYAS,9,GUAYAQUIL,901,FEBRES CORDERO,90104,09H00266,ESCUELA DE EDUCACION BASICA LEONARDO R  AULESTIA,Educación Regular,Inicial y EGB,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina y Vespertina,Propio,Terrestre,23,5,28,353,395,748,26.71428571
ZONA 9,PICHINCHA,17,QUITO,1701,TURUBAMBA,170132,17H01056,RIOBAMBA,Educación Regular,Inicial y EGB,Fiscal,UrbanaINEC,Sierra,Hispana,Presencial,Matutina y Vespertina,Propio,Terrestre,47,16,63,776,766,1542,24.47619048
ZONA 6,AZUAY,1,SANTA ISABEL,108,ABDON CALDERON (LA UNION),10851,01H01322,ESCUELA DE EDUCACIÓN BÁSICA CARLOS JULIO AROSEMENA TOLA,Educación Regular,Educación Básica,Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,1,0,1,4,2,6,6
ZONA 3,CHIMBORAZO,6,COLTA,603,CAÑI,60351,06H00743,PROVINCIA DE NAPO,Educación Regular,Educación Básica,Fiscal,RuralINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,1,1,2,6,8,14,7
ZONA 1,IMBABURA,10,COTACACHI,1003,SAGRARIO,100301,10B00032,SAN JACINTO,Educación Regular,Inicial y EGB,Fiscal,UrbanaINEC,Sierra,Bilingüe,Presencial,Matutina,Propio,Terrestre,17,3,20,163,145,308,15.4
ZONA 7,LOJA,11,ZAPOTILLO,1113,ZAPOTILLO,111350,11H01562,ESCUELA DE EDUCACION BASICA ESPARTA,Educación Regular,Educación Básica,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,1,0,1,2,1,3,3
ZONA 4,MANABI,13,PEDERNALES,1317,10 DE AGOSTO,131752,13H03996,ESCUELA DE EDUCACION BASICA MARGARITA Z DE BELLETTINI,Educación Regular,Educación Básica,Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,1,0,1,13,13,26,26
ZONA 7,ZAMORA CHINCHIPE,19,EL PANGUI,1906,PACHICUTZA,190652,19B00058,CENTRO EDUCATIVO COMUNITARIO INTERCULTURAL BILINGÜE DE EDUCACION BASICA SAANT,Educación Regular,Inicial y EGB,Fiscal,RuralINEC,Sierra,Bilingüe,Presencial,Matutina,Propio,Terrestre,2,0,2,14,14,28,14
ZONA 8,GUAYAS,9,DURAN,907,ELOY ALFARO (DURAN),90701,09H03500,UNIDAD EDUCATIVA PARTICULAR PABLO PICASSO,Educación Regular,"Inicial, Educación Básica y Bachillerato",Particular Laico,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,14,3,17,227,215,442,26
ZONA 5,GUAYAS,9,BALAO,903,BALAO,90350,09H02891,UNIDAD EDUCATIVA SABINO EIPACIO ROSALES PANCHANA,Educación Regular,"Inicial, Educación Básica y Bachillerato",Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina y Vespertina,Propio,Terrestre,36,14,50,788,783,1571,31.42
ZONA 3,CHIMBORAZO,6,RIOBAMBA,601,YARUQUIES,60105,06H00256,ESCUELA DE EDUCACION BASICA GARCIA MORENO,Educación Regular,Educación Básica,Fiscal,UrbanaINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,7,2,9,96,95,191,21.22222222
ZONA 3,PASTAZA,16,ARAJUNO,1604,CURARAY,160451,16B00176,UNIDAD EDUCATIVA DEL MILENIO INTERCULTURAL BILINGÜE TOÑE,Educación Regular,"Inicial, Educación Básica y Bachillerato",Fiscal,RuralINEC,Sierra,Bilingüe,Presencial,Matutina,Propio,Fluvial,7,4,11,66,81,147,13.36363636
ZONA 4,SANTO DOMINGO DE LOS TSACHILAS,23,SANTO DOMINGO DE LOS TSACHILAS,2301,BOMBOLI,230102,23H00726,IRFEYAL (CENTRO ED.47),Educación Regular,EGB y Bachillerato,Fiscomisional,UrbanaINEC,Costa,Hispana,Semipresencial,Matutina,Prestado,Terrestre,4,3,7,45,30,75,10.71428571
ZONA 5,BOLIVAR,2,GUARANDA,201,SIMIATUG,20159,02B00109,CECIB DE EB MUSHUK KAWSAY,Educación Regular,Inicial y EGB,Fiscal,RuralINEC,Sierra,Bilingüe,Presencial,Matutina,Propio,Terrestre,0,3,3,36,30,66,22
ZONA 1,ESMERALDAS,8,QUININDE,804,ROSA ZARATE (QUININDE),80450,08H00836,FISCAL EGB FISCAL MARIANO CEVALLOS,Educación Regular,Educación Básica,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,1,0,1,2,5,7,7
ZONA 9,PICHINCHA,17,QUITO,1701,PIFO,170175,17H01911,NUEVO HORIZONTE,Educación Regular,"Inicial, Educación Básica y Bachillerato",Particular Laico,RuralINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,11,6,17,51,50,101,5.941176471
ZONA 1,ESMERALDAS,8,ESMERALDAS,801,ESMERALDAS,80103,08H00375,UNIDAD EDUCATIVA FISCOMISIONAL ANGEL BARBISOTTI,Educación Regular,"Inicial, Educación Básica y Bachillerato",Fiscomisional,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,21,18,39,175,348,523,13.41025641
ZONA 6,AZUAY,1,CUENCA,101,NULTI,10158,01H00694,UNIDAD EDUCATIVA PARTICULAR VERBO,Educación Regular,"Inicial, Educación Básica y Bachillerato",Particular Laico,RuralINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,20,5,25,171,235,406,16.24
ZONA 7,LOJA,11,LOJA,1101,SUCRE,110103,11H00167,COLEGIO DE BACHILLERATO HERNAN GALLARDO MOSCOSO,Educación Regular,EGB y Bachillerato,Fiscal,UrbanaINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,7,5,12,117,90,207,17.25
ZONA 5,GUAYAS,9,BALZAR,904,BALZAR,90450,09H03070,ESCUELA DE EDUCACION BASICA VICTOR MANUEL RENDON,Educación Regular,Inicial y EGB,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina y Vespertina,Propio,Terrestre,26,6,32,391,482,873,27.28125
ZONA 6,AZUAY,1,SIGSIG,109,JIMA (GIMA),10952,01H01375,ESCUELA DE EDUCACIÓN BÁSICA MARCO ANTONIO TORAL VEGA,Educación Regular,Educación Básica,Fiscal,RuralINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,1,1,2,14,13,27,13.5
ZONA 8,GUAYAS,9,GUAYAQUIL,901,TARQUI,90112,09H01265,ESCUELA DE EDUCACION BASICA FISCAL DR MANUEL IGNACIO GOMEZ LINCE,Educación Regular,Inicial y EGB,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,8,0,8,143,107,250,31.25
ZONA 9,PICHINCHA,17,QUITO,1701,QUITUMBE,170126,17H01395,QUITUMBE,Educación Regular,EGB y Bachillerato,Municipal,UrbanaINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,47,24,71,700,825,1525,21.47887324
ZONA 5,GUAYAS,9,NARANJITO,912,NARANJITO,91250,09H04415,ESCUELA DE EDUCACION BASICA VEINTISIETE DE MAYO,Educación Regular,Educación Básica,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,2,0,2,14,17,31,15.5
ZONA 7,LOJA,11,CELICA,1104,CELICA,110450,11H00745,ESCUELA DE EDUCACION BASICA LOS RIOS N 203,Educación Regular,Educación Básica,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,1,0,1,1,4,5,5
ZONA 7,LOJA,11,PALTAS,1109,YAMANA,110959,11H01254,ESCUELA DE EDUCACION BASICA FRANCISCO CELI BARBA,Educación Regular,Educación Básica,Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,1,0,1,10,4,14,14
ZONA 2,ORELLANA,22,LORETO,2204,AVILA,220451,22B00125,CECIB TUMBEZ MARAÑON,Educación Regular,Educación Básica,Fiscal,RuralINEC,Sierra,Bilingüe,Presencial,Matutina,Propio,Terrestre,2,0,2,23,14,37,18.5
ZONA 8,GUAYAS,9,GUAYAQUIL,901,PASCUALES,90115,09H06084,UNIDAD EDUCATIVA DISTANCIA DR. EUGENIO ESPEJO EXTENCION O7U,Popular Permanente,EGB y Bachillerato,Particular Laico,UrbanaINEC,Costa,Hispana,Presencial,Matutina y Vespertina,Prestado,Terrestre,0,0,0,133,99,232,0
ZONA 4,MANABI,13,PORTOVIEJO,1301,PICOAZA,130104,13H00337,ELOY ALFARO,Educación Regular,Educación Básica,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,1,0,1,6,5,11,11
ZONA 3,PASTAZA,16,ARAJUNO,1604,CURARAY,160451,16B00194,CENTRO EDUCATIVO COMUNITARIO INTERCULTURAL BILINGUE WANE,Educación Regular,Inicial y EGB,Fiscal,RuralINEC,Sierra,Bilingüe,Presencial,Matutina,Propio,Aérea,0,3,3,20,20,40,13.33333333
ZONA 2,PICHINCHA,17,CAYAMBE,1702,CAYAMBE,170202,17H02158,UNIDAD EDUCATIVA NELSON TORRES,Educación Regular,EGB y Bachillerato,Fiscal,UrbanaINEC,Sierra,Hispana,Presencial,"Matutina, Vesperina y Nocturna",Propio,Terrestre,38,36,74,813,786,1599,21.60810811
ZONA 1,SUCUMBIOS,21,SUCUMBIOS,2105,LA SOFIA,210552,21H00655,CIUDAD DE TENA,Educación Regular,Educación Básica,Fiscal,RuralINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,1,0,1,11,8,19,19
ZONA 6,AZUAY,1,SIGSIG,109,LUDO,10954,01H01404,ESCUELA DE EDUCACIÓN BÁSICA 5 DE FEBRERO,Educación Regular,Educación Básica,Fiscal,RuralINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,2,0,2,17,13,30,15
ZONA 3,CHIMBORAZO,6,RIOBAMBA,601,PUNGALA,60157,06B00071,ESCUELA DE EDUCACION BASICA INTERCULTURAL BILINGÜE JOSE FELIX TIXI,Educación Regular,Educación Básica,Fiscal,RuralINEC,Sierra,Bilingüe,Presencial,Matutina,Propio,Terrestre,0,1,1,7,2,9,9
ZONA 3,PASTAZA,16,PASTAZA,1601,CANELOS,160152,16B00011,CENTRO EDUCATIVO COMUNITARIO INTERCULTURAL BILINGÜE DE EDUCACION BASICA SARAYACU PUERTO,Educación Regular,Educación Básica,Fiscal,RuralINEC,Sierra,Bilingüe,Presencial,Matutina,Propio,Terrestre,0,1,1,5,10,15,15
ZONA 5,BOLIVAR,2,SAN MIGUEL,205,SAN PABLO (SAN PABLO DE ATENAS),20554,02H00599,ESCUELA DE EDUCACION BASICA QUITO,Educación Regular,Inicial y EGB,Fiscal,RuralINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,5,2,7,38,36,74,10.57142857
ZONA 5,GUAYAS,9,NARANJAL,911,NARANJAL,91150,09H04302,UNIDAD EDUCATIVA DR MIGUEL ENCALADA MORA,Educación Regular,"Inicial, Educación Básica y Bachillerato",Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina y Vespertina,Propio,Terrestre,38,9,47,635,588,1223,26.0212766
ZONA 6,AZUAY,1,CUENCA,101,TARQUI,10168,01H00857,ESCUELA DE EDUCACIÓN BÁSICA MONSEÑOR LEÓNIDAS PROAÑO,Educación Regular,Educación Básica,Fiscal,RuralINEC,Sierra,Hispana,Presencial,Matutina,Prestado,Terrestre,2,0,2,17,13,30,15
ZONA 2,NAPO,15,TENA,1501,PANO,150154,15H00324,CENTRO DE ALFABETIZACIÓN SAN ANTONIO,Popular Permanente,Alfabetización P.P,Fiscal,RuralINEC,Sierra,Hispana,Presencial,Matutina,Prestado,Terrestre,1,0,1,22,7,29,29
ZONA 4,MANABI,13,PAJAN,1310,LASCANO,131054,13H02980,GUADALUPE LARRIVA,Educación Regular,Educación Básica,Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,2,0,2,17,21,38,19
ZONA 4,MANABI,13,SUCRE,1314,SAN ISIDRO,131457,13H03542,SAN FRANCISCO,Educación Regular,Educación Básica,Fiscal,RuralINEC,Costa,Hispana,Presencial,Vespertina,Propio,Terrestre,1,0,1,4,4,8,8
ZONA 9,PICHINCHA,17,QUITO,1701,ALANGASI,170151,17H03723,CDI MIS MOMENTOS FELICES,Educación Regular,Inicial,Particular Religioso,RuralINEC,Sierra,Hispana,Presencial,Matutina,Arriendo,Terrestre,4,0,4,11,6,17,4.25
ZONA 4,MANABI,13,SUCRE,1314,CHARAPOTO,131453,13H03503,CHARAPOTO,Educación Regular,EGB y Bachillerato,Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina y Vespertina,Propio,Terrestre,30,17,47,543,367,910,19.36170213
ZONA 5,SANTA ELENA,24,SALINAS,2403,SANTA ROSA,240304,24H00282,ESCUELA DE EDUCACION BASICA MEDINA DOMINGUEZ,Educación Regular,Inicial y EGB,Particular Laico,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,7,1,8,63,61,124,15.5
ZONA 5,GUAYAS,9,EL TRIUNFO,909,EL TRIUNFO,90950,09H04054,ESCUELA DE EDUCACION BASICA HUANCAVILCA,Educación Regular,Inicial y EGB,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina y Vespertina,Propio,Terrestre,7,1,8,161,162,323,40.375
ZONA 5,BOLIVAR,2,GUARANDA,201,JULIO E. MORENO (CATANAHUAN GRANDE),20153,02H00126,EEB CARLOS  GUALBERTO GALARZA,Educación Regular,Inicial y EGB,Fiscal,RuralINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,6,3,9,44,53,97,10.77777778
ZONA 1,CARCHI,4,TULCAN,401,TULCAN,40102,04H00034,UNIDAD EDUCATIVA FISCOMISIONAL HERMANO MIGUEL LA SALLE,Educación Regular,EGB y Bachillerato,Fiscomisional,UrbanaINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,38,16,54,634,666,1300,24.07407407
ZONA 4,MANABI,13,JAMA,1320,JAMA,132050,13H05397,RAMBUCHE,Educación Regular,"Inicial, Educación Básica y Bachillerato",Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,10,5,15,150,158,308,20.53333333
ZONA 6,AZUAY,1,NABON,104,LAS NIEVES (CHAYA),10453,01H01132,UNIDAD EDUCATIVA LA PAZ,Educación Regular,"Inicial, Educación Básica y Bachillerato",Fiscal,RuralINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,11,6,17,114,96,210,12.35294118
ZONA 6,AZUAY,1,GUALACEO,103,GUALACEO,10350,01H01890,NENES,Educación Regular,Inicial,Particular Laico,UrbanaINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,2,0,2,18,23,41,20.5
ZONA 5,LOS RIOS,12,VENTANAS,1207,ZAPOTAL,120752,12H01222,ESCUELA DE EDUCACION BASICA GUIDO GAIBOR OLALLA,Educación Regular,Educación Básica,Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina,No conoce,Terrestre,1,0,1,18,12,30,30
ZONA 6,CAÑAR,3,AZOGUES,301,COJITAMBO,30151,03H00100,ESCUELA DE EDUCACIÓN BASICA PEDRO  MONCAYO,Educación Regular,Educación Básica,Fiscal,RuralINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,2,0,2,13,15,28,14
ZONA 7,EL ORO,7,SANTA ROSA,712,SANTA ROSA,71201,07H01035,ESCUELA DE EDUCACIÓN BÁSICA SIMÓN BOLÍVAR,Educación Regular,Inicial y EGB,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,14,2,16,124,157,281,17.5625
ZONA 5,LOS RIOS,12,BABAHOYO,1201,BARREIRO,120103,12H00124,ESCUELA DE EDUCACION BASICA MARGARITA VALLE VIUDA DE PALACIOS,Educación Regular,Educación Básica,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,0,1,1,9,8,17,17
ZONA 6,MORONA SANTIAGO,14,SUCUA,1406,ASUNCION,140651,14B00150,CECIB DE EDUCACIÓN BÁSICA WAMPUTSRIK,Educación Regular,Educación Básica,Fiscal,RuralINEC,Sierra,Bilingüe,Presencial,Matutina,Propio,Terrestre,2,1,3,34,38,72,24
ZONA 4,MANABI,13,BOLIVAR,1302,CALCETA,130250,13H00762,ESCUELA DE EDUCACION BASICA ELOY ALFARO,Educación Regular,Educación Básica,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,1,0,1,7,7,14,14
ZONA 4,MANABI,13,PORTOVIEJO,1301,FRANCISCO PACHECO,130107,13H04855,"UNIDAD EDUCATIVA FISCOMISIONAL JOSE MARIA VELAZ, SJ – IRFEYAL – EXTENSION 45-PORTOVIEJO",Popular Permanente,EGB y Bachillerato,Fiscomisional,UrbanaINEC,Costa,Hispana,A Distancia,Vespertina,Prestado,Terrestre,4,3,7,82,81,163,23.28571429
ZONA 5,GUAYAS,9,PLAYAS,921,GENERAL VILLAMIL (PLAYAS),92150,09H05088,ESCUELA DE EDUCACION BASICA LAURA VICUÑA,Educación Regular,Inicial y EGB,Fiscomisional,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,30,4,34,479,352,831,24.44117647
ZONA 6,MORONA SANTIAGO,14,GUALAQUIZA,1402,GUALAQUIZA,140201,14H00123,UNIDAD DE EDUCACION ESPECIAL OSWALDO GUAYAZAMIN,Educación Especial,Inicial y EGB,Fiscal,UrbanaINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,5,6,11,14,22,36,3.272727273
ZONA 1,SUCUMBIOS,21,SHUSHUFINDI,2104,LIMONCOCHA,210451,21B00185,ABRAHAM RON,Educación Regular,Educación Básica,Fiscal,RuralINEC,Sierra,Bilingüe,Presencial,Matutina,Propio,Terrestre,0,1,1,5,8,13,13
ZONA 8,GUAYAS,9,GUAYAQUIL,901,FEBRES CORDERO,90104,09H00153,ESCUELA DE EDUCACION BASICA CASITA DE FANTASIA,Educación Regular,Inicial y EGB,Particular Laico,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Arriendo,Terrestre,6,0,6,106,88,194,32.33333333
ZONA 5,LOS RIOS,12,VENTANAS,1207,VENTANAS,120702,12H01144,ESCUELA DE EDUCACION BASICA ADOLFO JURADO GONZALEZ,Educación Regular,Inicial y EGB,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina y Vespertina,Propio,Terrestre,34,5,39,649,619,1268,32.51282051
ZONA 4,MANABI,13,CHONE,1303,RICAURTE,130356,13H01309,DEIFILIO  ARTEAGA ANDRADE,Educación Regular,Educación Básica,Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,0,1,1,3,6,9,9
ZONA 6,AZUAY,1,CUENCA,101,SININCAY,10167,01H00840,ESCUELA DE EDUCACION BASICA PADRE JUAN CARLO,Educación Regular,Educación Básica,Fiscal,RuralINEC,Sierra,Hispana,Presencial,Matutina y Vespertina,Propio,Terrestre,8,5,13,91,88,179,13.76923077
ZONA 5,GUAYAS,9,SIMON BOLIVAR,922,CRNEL. LORENZO DE GARAICOA (PEDREGAL),92251,09H05384,ESCUELA DE EDUCACION BASICA HERMANO MIGUEL,Educación Regular,Educación Básica,Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,1,0,1,6,10,16,16
ZONA 9,PICHINCHA,17,QUITO,1701,LA ARGELIA,170116,17H01268,NICOLAS GUILLEN,Educación Regular,"Inicial, Educación Básica y Bachillerato",Fiscal,UrbanaINEC,Sierra,Hispana,Presencial,Matutina y Vespertina,Comodato,Terrestre,41,10,51,645,614,1259,24.68627451
ZONA 6,CAÑAR,3,CAÑAR,303,DUCUR,30363,03H00480,ESCUELA DE EDUCACION BASICA JULIO CESAR PADRON,Educación Regular,Educación Básica,Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,1,0,1,9,10,19,19
ZONA 5,LOS RIOS,12,QUEVEDO,1205,SAN CAMILO,120502,12H00746,ESCUELA DE EDUCACION BASICA REGION LITORAL,Educación Regular,Educación Básica,Particular Laico,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,8,3,11,139,133,272,24.72727273
ZONA 4,SANTO DOMINGO DE LOS TSACHILAS,23,SANTO DOMINGO DE LOS TSACHILAS,2301,ABRAHAM CALAZACON,230101,23H00407,DR CARLOS RUFINO MARIN,Educación Regular,"Inicial, Educación Básica y Bachillerato",Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina y Vespertina,Propio,Terrestre,29,8,37,461,506,967,26.13513514
ZONA 4,MANABI,13,PUERTO LOPEZ,1319,PUERTO LOPEZ,131950,13H04143,CINCO DE MAYO,Educación Regular,EGB y Bachillerato,Particular Laico,UrbanaINEC,Costa,Hispana,Presencial,Vespertina,Comodato,Terrestre,4,6,10,82,73,155,15.5
ZONA 7,LOJA,11,CALVAS,1102,EL LUCERO,110252,11H00598,ESCUELA DE EDUCACION BASICA ING  ALFONSO VALDIVIEZO,Educación Regular,Educación Básica,Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,3,0,3,22,23,45,15
ZONA 4,MANABI,13,OLMEDO,1318,OLMEDO,131850,13H04062,RIO PUCA,Educación Regular,EGB y Bachillerato,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina y Vespertina,Propio,Terrestre,17,22,39,431,395,826,21.17948718
ZONA 3,CHIMBORAZO,6,COLTA,603,SICALPA,60302,06B00214,UNIDAD EDUCATIVA COMUNITARIA INTERCULTURAL BILINGÜE SEGUNDO JACOBO YEPEZ,Educación Regular,"Inicial, Educación Básica y Bachillerato",Fiscal,UrbanaINEC,Sierra,Bilingüe,Presencial,Matutina,Propio,Terrestre,8,8,16,93,83,176,11
ZONA 6,AZUAY,1,PUCARA,106,SAN RAFAEL DE SHARUG,10652,01H01258,ESCUELA DE EDUCACIÓN BÁSICA HUASIPAMBA PARAISO,Educación Regular,Educación Básica,Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,0,1,1,1,5,6,6
ZONA 1,ESMERALDAS,8,SAN LORENZO,805,ANCON (PICHANGAL),80552,08H01211,UNIDAD EDUCATIVA ANCON DE SARDINAS,Educación Regular,"Inicial, Educación Básica y Bachillerato",Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina,Propio,Fluvial,18,8,26,293,256,549,21.11538462
ZONA 5,LOS RIOS,12,VALENCIA,1211,VALENCIA,121101,12H01830,ESCUELA DE EDUCACION BASICA JUAN AMOS COMENIUS,Educación Regular,Educación Básica,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,1,0,1,13,13,26,26
ZONA 4,MANABI,13,PORTOVIEJO,1301,SAN PABLO,130105,13H00002,ESCUELA DE EDUCACION BASICA FISCAL MARIANA COBOS DE ROBLES,Educación Regular,Inicial y EGB,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Prestado,Terrestre,14,3,17,171,200,371,21.82352941
